[-0.0, 0.0, 500.0, 0.0, 500.0, -6.5, 0.0, -6.5]
[500.0, 0.0, -0.0, 0.0, -0.0, 6.5, 500.0, 6.5]
[500.0, 0.0, 1000.0, 0.0, 1000.0, -6.5, 500.0, -6.5]
[1000.0, 0.0, 500.0, 0.0, 500.0, 6.5, 1000.0, 6.5]
[-0.0, 0.0, -0.0, 500.0, -6.5, 500.0, -6.5, 0.0]
[-0.0, 500.0, -0.0, 0.0, 6.5, 0.0, 6.5, 500.0]
[500.0, 500.0, -0.0, 500.0, -0.0, 506.5, 500.0, 506.5]
[-0.0, 500.0, 500.0, 500.0, 500.0, 493.5, -0.0, 493.5]
[500.0, 500.0, 1000.0, 500.0, 1000.0, 493.5, 500.0, 493.5]
[1000.0, 500.0, 500.0, 500.0, 500.0, 506.5, 1000.0, 506.5]
[1000.0, 0.0, 1000.0, 500.0, 993.5, 500.0, 993.5, 0.0]
[1000.0, 500.0, 1000.0, 0.0, 1006.5, 0.0, 1006.5, 500.0]
[-0.0, 500.0, -0.0, 1000.0, -6.5, 1000.0, -6.5, 500.0]
[-0.0, 1000.0, -0.0, 500.0, 6.5, 500.0, 6.5, 1000.0]
[-0.0, 1000.0, 500.0, 1000.0, 500.0, 993.5, -0.0, 993.5]
[500.0, 1000.0, -0.0, 1000.0, -0.0, 1006.5, 500.0, 1006.5]
[500.0, 1000.0, 1000.0, 1000.0, 1000.0, 993.5, 500.0, 993.5]
[1000.0, 1000.0, 500.0, 1000.0, 500.0, 1006.5, 1000.0, 1006.5]
[1000.0, 1000.0, 1000.0, 500.0, 1006.5, 500.0, 1006.5, 1000.0]
[1000.0, 500.0, 1000.0, 1000.0, 993.5, 1000.0, 993.5, 500.0]
[500.0, 500.0, 500.0, 1000.0, 493.5, 1000.0, 493.5, 500.0]
[500.0, 1000.0, 500.0, 500.0, 506.5, 500.0, 506.5, 1000.0]
[500.0, 500.0, 500.0, 0.0, 506.5, 0.0, 506.5, 500.0]
[500.0, 0.0, 500.0, 500.0, 493.5, 500.0, 493.5, 0.0]
